EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-04-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 116304) of station Poprad/Tatry, SLOVAKIA (STAID:    334)

 STAID,    SOUID,    DATE,   RR, Q_RR
   334,116304,19510101,-9999,    9
   334,116304,19510102,-9999,    9
   334,116304,19510103,    0,    0
   334,116304,19510104,   11,    0
   334,116304,19510105,    0,    0
   334,116304,19510106,    2,    0
   334,116304,19510107,    0,    0
   334,116304,19510108,    3,    0
   334,116304,19510109,    0,    0
   334,116304,19510110,    0,    0
   334,116304,19510111,    0,    0
   334,116304,19510112,    0,    0
   334,116304,19510113,    1,    0
   334,116304,19510114,   24,    0
   334,116304,19510115,    2,    0
   334,116304,19510116,    0,    0
   334,116304,19510117,    7,    0
   334,116304,19510118,    3,    0
   334,116304,19510119,    9,    0
   334,116304,19510120,   33,    0
   334,116304,19510121,   41,    0
   334,116304,19510122,    3,    0
   334,116304,19510123,   13,    0
   334,116304,19510124,    0,    0
   334,116304,19510125,   31,    0
   334,116304,19510126,    0,    0
   334,116304,19510127,   18,    0
   334,116304,19510128,    0,    0
   334,116304,19510129,    0,    0
   334,116304,19510130,    0,    0
   334,116304,19510131,    1,    0
   334,116304,19510201,    0,    0
   334,116304,19510202,    0,    0
   334,116304,19510203,    0,    0
   334,116304,19510204,    3,    0
   334,116304,19510205,    6,    0
   334,116304,19510206,    0,    0
   334,116304,19510207,    0,    0
   334,116304,19510208,    0,    0
   334,116304,19510209,    0,    0
   334,116304,19510210,    0,    0
   334,116304,19510211,    0,    0
   334,116304,19510212,    0,    0
   334,116304,19510213,    0,    0
   334,116304,19510214,   18,    0
   334,116304,19510215,    0,    0
   334,116304,19510216,    0,    0
   334,116304,19510217,    0,    0
   334,116304,19510218,    3,    0
   334,116304,19510219,    0,    0
   334,116304,19510220,    0,    0
   334,116304,19510221,   52,    0
   334,116304,19510222,    0,    0
   334,116304,19510223,    2,    0
   334,116304,19510224,   23,    0
   334,116304,19510225,   17,    0
   334,116304,19510226,   96,    0
   334,116304,19510227,    9,    0
   334,116304,19510228,    3,    0
   334,116304,19510301,    0,    0
   334,116304,19510302,    0,    0
