EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-04-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : Minimum temperature in 0.1 &#176;C
30-34 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 116297) of station Poprad/Tatry, SLOVAKIA (STAID:    334)

 STAID,    SOUID,    DATE,   TN, Q_TN
   334,116297,19510101,-9999,    9
   334,116297,19510102,-9999,    9
   334,116297,19510103,  -40,    0
   334,116297,19510104,  -38,    0
   334,116297,19510105,  -40,    0
   334,116297,19510106,  -43,    0
   334,116297,19510107,  -21,    0
   334,116297,19510108,  -20,    0
   334,116297,19510109,  -49,    0
   334,116297,19510110,  -43,    0
   334,116297,19510111, -102,    0
   334,116297,19510112,   26,    0
   334,116297,19510113,   33,    0
   334,116297,19510114,    4,    0
   334,116297,19510115,  -48,    0
   334,116297,19510116,  -18,    0
   334,116297,19510117,  -64,    0
   334,116297,19510118,  -46,    0
   334,116297,19510119,  -36,    0
   334,116297,19510120,  -31,    0
   334,116297,19510121,  -46,    0
   334,116297,19510122, -132,    0
   334,116297,19510123, -132,    0
   334,116297,19510124,  -62,    0
   334,116297,19510125,  -62,    0
   334,116297,19510126,  -44,    0
   334,116297,19510127,  -56,    0
   334,116297,19510128,  -35,    0
   334,116297,19510129, -102,    0
   334,116297,19510130, -100,    0
   334,116297,19510131,  -42,    0
   334,116297,19510201,  -82,    0
   334,116297,19510202, -134,    0
   334,116297,19510203, -139,    0
   334,116297,19510204, -100,    0
   334,116297,19510205,  -41,    0
   334,116297,19510206,    8,    0
   334,116297,19510207,    7,    0
   334,116297,19510208,   -1,    0
   334,116297,19510209,   -9,    0
   334,116297,19510210,  -42,    0
   334,116297,19510211,  -71,    0
   334,116297,19510212,    2,    0
   334,116297,19510213,    9,    0
   334,116297,19510214,  -24,    0
   334,116297,19510215,    2,    0
   334,116297,19510216,  -11,    0
   334,116297,19510217,  -36,    0
   334,116297,19510218,   -7,    0
   334,116297,19510219,  -67,    0
   334,116297,19510220,  -42,    0
   334,116297,19510221,  -38,    0
   334,116297,19510222,  -18,    0
   334,116297,19510223,  -48,    0
   334,116297,19510224,  -56,    0
   334,116297,19510225,  -11,    0
   334,116297,19510226,  -45,    0
   334,116297,19510227,  -52,    0
   334,116297,19510228,  -89,    0
   334,116297,19510301, -109,    0
   334,116297,19510302,  -94,    0
   334,116297,19510303, -129,    0
   334,116297,19510304,  -95,    0
   334,116297,19510305, -110,    0
   334,116297,19510306,  -49,    0
   334,116297,19510307,  -51,    0
   334,116297,19510308,   -3,    0
   334,116297,19510309,  -30,    0
   334,116297,19510310,  -56,    0
   334,116297,19510311,  -61,    0
   334,116297,19510312,   -6,    0
   334,116297,19510313,   -5,    0
   334,116297,19510314,   21,    0
   334,116297,19510315,   12,    0
   334,116297,19510316,   -6,    0
   334,116297,19510317,  -43,    0
   334,116297,19510318,   23,    0
   334,116297,19510319,   51,    0
   334,116297,19510320,   -6,    0
   334,116297,19510321,  -48,    0
   334,116297,19510322,  -64,    0
   334,116297,19510323,  -11,    0
   334,116297,19510324,    9,    0
   334,116297,19510325,  -12,    0
   334,116297,19510326,  -30,    0
   334,116297,19510327,  -59,    0
   334,116297,19510328,    0,    0
   334,116297,19510329,  -21,    0
